session_key,driver_number,team_name
9063,20,Haas F1 Team
9063,21,AlphaTauri
9063,22,AlphaTauri
9063,23,Williams
9063,24,Alfa Romeo
9063,27,Haas F1 Team
9063,31,Alpine
9063,44,Mercedes
9063,55,Ferrari
9063,63,Mercedes
9063,77,Alfa Romeo
9063,81,McLaren
9064,1,Red Bull Racing
9064,2,Williams
9064,4,McLaren
9064,10,Alpine
9064,11,Red Bull Racing
9064,14,Aston Martin
9064,16,Ferrari
9064,18,Aston Martin
9064,20,Haas F1 Team
9064,21,AlphaTauri
9064,22,AlphaTauri
9064,23,Williams
9064,24,Alfa Romeo
9064,27,Haas F1 Team
9064,31,Alpine
9064,44,Mercedes
9064,55,Ferrari
9064,63,Mercedes
9064,77,Alfa Romeo
9064,81,McLaren
9278,1,Red Bull Racing
9278,2,Williams
9278,4,McLaren
9278,10,Alpine
9278,11,Red Bull Racing
9278,14,Aston Martin
9278,16,Ferrari
9278,18,Aston Martin
9278,20,Haas F1 Team
9278,21,AlphaTauri
9278,22,AlphaTauri
9278,23,Williams
9278,24,Alfa Romeo
9278,27,Haas F1 Team
9278,31,Alpine
9278,44,Mercedes
9278,55,Ferrari
9278,63,Mercedes
9278,77,Alfa Romeo
9278,81,McLaren
9069,1,Red Bull Racing
9069,4,McLaren
9069,10,Alpine
9069,11,Red Bull Racing
9069,14,Aston Martin
9069,16,Ferrari
9069,18,Aston Martin
9069,20,Haas F1 Team
9069,21,AlphaTauri
9069,22,AlphaTauri
9069,23,Williams
9069,24,Alfa Romeo
9069,27,Haas F1 Team
9069,31,Alpine
9069,44,Mercedes
9069,55,Ferrari
9069,63,Mercedes
9069,77,Alfa Romeo
9069,81,McLaren
9070,1,Red Bull Racing
9070,2,Williams
9070,4,McLaren
9070,10,Alpine
9070,11,Red Bull Racing
9070,14,Aston Martin
9070,16,Ferrari
9070,18,Aston Martin
9070,20,Haas F1 Team
9070,21,AlphaTauri
9070,22,AlphaTauri
9070,23,Williams
9070,24,Alfa Romeo
9070,27,Haas F1 Team
9070,31,Alpine
9070,44,Mercedes
9070,55,Ferrari
9070,63,Mercedes
9070,77,Alfa Romeo
9070,81,McLaren
9071,1,Red Bull Racing
9071,2,Williams
9071,4,McLaren
9071,10,Alpine
9071,11,Red Bull Racing
9071,14,Aston Martin
9071,16,Ferrari
9071,18,Aston Martin
9071,20,Haas F1 Team
9071,21,AlphaTauri
9071,22,AlphaTauri
9071,23,Williams
9071,24,Alfa Romeo
9071,27,Haas F1 Team
9071,31,Alpine
9071,44,Mercedes
9071,55,Ferrari
9071,63,Mercedes
9071,77,Alfa Romeo
9071,81,McLaren
9072,1,Red Bull Racing
9072,2,Williams
9072,4,McLaren
9072,10,Alpine
9072,11,Red Bull Racing
9072,14,Aston Martin
9072,16,Ferrari
9072,18,Aston Martin
9072,20,Haas F1 Team
9072,21,AlphaTauri
9072,22,AlphaTauri
9072,23,Williams
9072,24,Alfa Romeo
9072,27,Haas F1 Team
9072,31,Alpine
9072,44,Mercedes
9072,55,Ferrari
9072,63,Mercedes
9072,77,Alfa Romeo
9072,81,McLaren
9073,1,Red Bull Racing
9073,2,Williams
9073,4,McLaren
