session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap
7953,22,4,2023-03-05 15:08:47.791000+00:00,99.95,31.259,43.59,25.101,225,248,False
7953,81,4,2023-03-05 15:08:48.588000+00:00,100.718,31.831,44.079,24.808,227,244,False
7953,24,4,2023-03-05 15:08:49.010000+00:00,100.853,31.457,44.6,24.796,,244,False
7953,10,4,2023-03-05 15:08:49.588000+00:00,100.894,31.514,44.492,24.888,223,237,False
7953,21,4,2023-03-05 15:08:50.979000+00:00,100.373,31.611,43.9,24.862,,237,False
7953,20,4,2023-03-05 15:08:51.822000+00:00,100.773,31.755,44.045,24.973,229,239,False
7953,1,5,2023-03-05 15:10:11.852000+00:00,98.035,31.244,42.724,24.067,,239,False
7953,16,5,2023-03-05 15:10:15.352000+00:00,98.664,31.543,42.943,24.178,,255,False
7953,11,5,2023-03-05 15:10:16.368000+00:00,98.404,31.231,42.944,24.229,232,250,False
7953,55,5,2023-03-05 15:10:17.524000+00:00,99.128,31.048,43.623,24.457,227,241,False
7953,44,5,2023-03-05 15:10:18.758000+00:00,99.335,31.35,43.508,24.477,230,246,False
7953,63,5,2023-03-05 15:10:19.508000+00:00,99.549,31.367,43.763,24.419,227,243,False
7953,14,5,2023-03-05 15:10:20.915000+00:00,99.662,31.705,43.553,24.404,225,235,False
7953,77,5,2023-03-05 15:10:22.165000+00:00,101.033,32.204,44.132,24.697,,239,False
7953,18,5,2023-03-05 15:10:22.789000+00:00,99.144,31.135,43.479,24.53,227,248,False
7953,31,5,2023-03-05 15:10:24.680000+00:00,100.281,31.709,43.727,24.845,,241,False
7953,23,5,2023-03-05 15:10:25.633000+00:00,100.606,31.48,44.21,24.916,,241,False
7953,4,5,2023-03-05 15:10:26.727000+00:00,100.664,32.022,43.875,24.767,225,248,False
7953,2,5,2023-03-05 15:10:27.180000+00:00,100.902,31.603,44.497,24.802,229,243,False
7953,22,5,2023-03-05 15:10:27.649000+00:00,101.131,31.566,44.562,25.003,227,251,False
7953,27,5,2023-03-05 15:10:28.430000+00:00,101.002,31.56,44.453,24.989,230,246,False
7953,81,5,2023-03-05 15:10:29.336000+00:00,100.862,31.846,44.06,24.956,228,232,False
7953,24,5,2023-03-05 15:10:29.883000+00:00,100.814,31.58,44.334,24.9,226,248,False
7953,10,5,2023-03-05 15:10:30.477000+00:00,100.818,31.705,44.192,24.921,,241,False
7953,21,5,2023-03-05 15:10:31.461000+00:00,100.63,31.428,44.155,25.047,228,239,False
7953,20,5,2023-03-05 15:10:32.461000+00:00,101.34,31.769,44.572,24.999,228,239,False
7953,1,6,2023-03-05 15:11:49.866000+00:00,97.986,31.341,42.632,24.013,229,239,False
7953,16,6,2023-03-05 15:11:53.991000+00:00,98.572,31.444,43.037,24.091,,242,False
7953,11,6,2023-03-05 15:11:54.772000+00:00,98.718,31.276,43.043,24.399,231,246,False
7953,55,6,2023-03-05 15:11:56.647000+00:00,99.474,31.469,43.498,24.507,226,241,False
7953,44,6,2023-03-05 15:11:58.069000+00:00,99.756,31.434,43.751,24.571,231,245,False
7953,63,6,2023-03-05 15:11:59.038000+00:00,99.493,31.196,43.619,24.678,228,255,False
7953,14,6,2023-03-05 15:12:00.585000+00:00,99.674,31.695,43.482,24.497,224,240,False
7953,18,6,2023-03-05 15:12:01.960000+00:00,99.714,31.536,43.59,24.588,229,230,False
7953,77,6,2023-03-05 15:12:03.241000+00:00,100.265,31.687,43.789,24.789,229,239,False
7953,31,6,2023-03-05 15:12:05.069000+00:00,100.331,31.767,43.724,24.84,227,244,False
7953,23,6,2023-03-05 15:12:06.272000+00:00,100.744,31.764,44.077,24.903,227,242,False
7953,4,6,2023-03-05 15:12:07.413000+00:00,100.814,31.98,44.01,24.824,227,243,False
7953,2,6,2023-03-05 15:12:08.209000+00:00,100.791,31.776,44.129,24.886,230,240,False
7953,22,6,2023-03-05 15:12:08.834000+00:00,100.886,31.671,44.172,25.043,230,251,False
7953,27,6,2023-03-05 15:12:09.413000+00:00,101.002,31.566,44.338,25.098,,248,False
7953,81,6,2023-03-05 15:12:10.178000+00:00,101.111,31.694,44.425,24.992,223,241,False
7953,24,6,2023-03-05 15:12:10.694000+00:00,101.156,31.782,44.431,24.943,224,237,False
7953,10,6,2023-03-05 15:12:11.319000+00:00,101.11,31.573,44.534,25.003,225,242,False
7953,21,6,2023-03-05 15:12:12.038000+00:00,101.125,31.563,44.451,25.111,229,243,False
7953,20,6,2023-03-05 15:12:13.819000+00:00,101.125,32.023,44.289,24.813,227,239,False
7953,1,7,2023-03-05 15:13:27.880000+00:00,98.021,31.29,42.763,23.968,230,239,False
7953,16,7,2023-03-05 15:13:32.583000+00:00,98.691,31.441,43.08,24.17,227,242,False
7953,11,7,2023-03-05 15:13:33.489000+00:00,98.804,31.214,43.174,24.416,230,237,False
7953,55,7,2023-03-05 15:13:36.098000+00:00,99.502,31.546,43.469,24.487,227,241,False
7953,44,7,2023-03-05 15:13:37.817000+00:00,99.757,31.48,43.664,24.613,233,249,False
7953,63,7,2023-03-05 15:13:38.505000+00:00,100.056,31.589,43.827,24.64,223,250,False
7953,14,7,2023-03-05 15:13:40.302000+00:00,99.729,31.675,43.494,24.56,227,233,False
7953,18,7,2023-03-05 15:13:41.661000+00:00,99.945,31.558,43.832,24.555,230,236,False
7953,77,7,2023-03-05 15:13:43.489000+00:00,100.564,31.983,43.92,24.661,226,238,False
7953,31,7,2023-03-05 15:13:45.348000+00:00,100.488,31.819,43.773,24.896,,243,False
7953,23,7,2023-03-05 15:13:47.020000+00:00,100.646,31.833,44.04,24.773,,243,False
7953,4,7,2023-03-05 15:13:48.223000+00:00,100.726,31.923,43.89,24.913,,251,False
7953,2,7,2023-03-05 15:13:48.880000+00:00,100.892,31.801,44.19,24.901,227,246,False
7953,22,7,2023-03-05 15:13:49.692000+00:00,100.952,31.564,44.259,25.129,224,252,False
7953,27,7,2023-03-05 15:13:50.411000+00:00,101.148,31.575,44.33,25.243,227,249,False
7953,81,7,2023-03-05 15:13:51.270000+00:00,101.167,31.716,44.471,24.98,226,230,False
7953,24,7,2023-03-05 15:13:51.911000+00:00,101.197,31.609,44.554,25.034,229,236,False
7953,10,7,2023-03-05 15:13:52.395000+00:00,101.134,31.604,44.49,25.04,,241,False
