session_key,driver_number,position,date
9181,31,16,2023-10-29 20:33:47.695000+00:00
9181,24,18,2023-10-29 20:33:48.055000+00:00
9181,4,17,2023-10-29 20:33:48.055000+00:00
9181,24,19,2023-10-29 20:33:49.492000+00:00
9181,22,18,2023-10-29 20:33:49.492000+00:00
9181,31,17,2023-10-29 20:34:10.289000+00:00
9181,4,16,2023-10-29 20:34:10.289000+00:00
9181,1,5,2023-10-29 20:34:52.475000+00:00
9181,81,6,2023-10-29 20:34:52.475000+00:00
9181,2,14,2023-10-29 20:35:04.803000+00:00
9181,18,13,2023-10-29 20:35:04.803000+00:00
9181,14,14,2023-10-29 20:35:12.959000+00:00
9181,2,15,2023-10-29 20:35:12.959000+00:00
9181,4,15,2023-10-29 20:35:13.194000+00:00
9181,2,16,2023-10-29 20:35:13.194000+00:00
9181,31,16,2023-10-29 20:35:14.475000+00:00
9181,2,17,2023-10-29 20:35:14.475000+00:00
9181,22,17,2023-10-29 20:35:14.647000+00:00
9181,2,18,2023-10-29 20:35:14.647000+00:00
9181,14,15,2023-10-29 20:35:19.725000+00:00
9181,4,14,2023-10-29 20:35:19.725000+00:00
9181,31,17,2023-10-29 20:35:21.225000+00:00
9181,22,16,2023-10-29 20:35:21.225000+00:00
9181,24,18,2023-10-29 20:35:24.053000+00:00
9181,2,19,2023-10-29 20:35:24.053000+00:00
9181,10,8,2023-10-29 20:36:19.927000+00:00
9181,27,9,2023-10-29 20:36:19.927000+00:00
9181,27,10,2023-10-29 20:36:27.833000+00:00
9181,23,9,2023-10-29 20:36:27.833000+00:00
9181,77,10,2023-10-29 20:36:28.630000+00:00
9181,27,11,2023-10-29 20:36:28.630000+00:00
9181,20,13,2023-10-29 20:36:29.802000+00:00
9181,18,12,2023-10-29 20:36:29.802000+00:00
9181,27,12,2023-10-29 20:36:34.067000+00:00
9181,18,11,2023-10-29 20:36:34.067000+00:00
9181,27,13,2023-10-29 20:36:36.802000+00:00
9181,20,14,2023-10-29 20:36:36.802000+00:00
9181,4,12,2023-10-29 20:36:36.802000+00:00
9181,27,14,2023-10-29 20:36:38.833000+00:00
9181,14,13,2023-10-29 20:36:38.833000+00:00
9181,20,15,2023-10-29 20:36:38.833000+00:00
9181,27,15,2023-10-29 20:36:39.302000+00:00
9181,20,16,2023-10-29 20:36:39.302000+00:00
9181,22,14,2023-10-29 20:36:39.302000+00:00
9181,27,16,2023-10-29 20:36:40.473000+00:00
9181,31,15,2023-10-29 20:36:40.473000+00:00
9181,20,17,2023-10-29 20:36:40.473000+00:00
9181,24,17,2023-10-29 20:36:47.629000+00:00
9181,20,18,2023-10-29 20:36:47.629000+00:00
9181,14,14,2023-10-29 20:36:48.020000+00:00
9181,22,13,2023-10-29 20:36:48.020000+00:00
9181,20,19,2023-10-29 20:37:01.270000+00:00
9181,2,18,2023-10-29 20:37:01.270000+00:00
9181,3,3,2023-10-29 20:37:30.098000+00:00
9181,44,4,2023-10-29 20:37:30.098000+00:00
9181,1,4,2023-10-29 20:37:30.535000+00:00
9181,44,5,2023-10-29 20:37:30.535000+00:00
9181,44,6,2023-10-29 20:37:33.363000+00:00
